ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Lemmatized;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
KMeans1520;CosineDistance;7;true;true;true;false;true;false;false;0.3189;0.047;45.4912;4.8116;74.5394;5.9729;-0.08700000000000001;0.0596;76.47
KMeans1520;CosineDistance;7;true;true;true;false;true;false;true;0.31120000000000003;0.036000000000000004;1.3538000000000001;0.1338;2.3936;0.38480000000000003;-0.18330000000000002;0.058100000000000006;8.28
KMeans1520;CosineDistance;7;true;true;true;false;true;true;false;0.3165;0.0417;9808.6993;1341.1572;14560.6792;1643.9650000000001;-0.2731;0.0575;7.07
KMeans1520;CosineDistance;7;true;true;true;true;false;false;false;0.41000000000000003;0.026500000000000003;3.5506;0.12860000000000002;4.1567;0.1241;0.0651;0.024200000000000003;143.82
KMeans1520;CosineDistance;7;true;true;true;true;false;false;true;0.2753;0.036500000000000005;5.4561;0.3025;6.3628;0.2828;0.031200000000000002;0.031900000000000005;19.45
KMeans1520;CosineDistance;7;true;true;true;true;false;true;false;0.27390000000000003;0.0363;66.7449;10.146700000000001;79.4019;22.185200000000002;-0.0694;0.0424;19.34
KMeans1520;CosineDistance;7;true;true;true;true;true;false;false;0.3183;0.057300000000000004;31.761300000000002;4.3256000000000006;64.0518;4.9873;0.005;0.0789;92.31
KMeans1520;CosineDistance;7;true;true;true;true;true;false;true;0.3206;0.0405;0.8212;0.1293;1.6782000000000001;0.2702;-0.0833;0.0734;17.06
KMeans1520;CosineDistance;7;true;true;true;true;true;true;false;0.3252;0.043500000000000004;4282.8307;1021.8470000000001;7774.5666;2701.791;-0.1663;0.077;11.05
KMeans1520;EuclideanDistance;7;true;true;true;false;false;false;false;0.42800000000000005;0.027700000000000002;2.7299;0.3059;4.6765;0.3808;0.1693;0.045700000000000005;199.55
KMeans1520;EuclideanDistance;7;true;true;true;false;false;false;true;0.31520000000000004;0.029900000000000003;6.1782;0.5455;10.3557;1.1473;0.1033;0.0456;72.01
KMeans1520;EuclideanDistance;7;true;true;true;false;false;true;false;0.29400000000000004;0.0308;98.38850000000001;9.2592;202.53570000000002;48.6435;0.0482;0.030500000000000003;81.08
KMeans1520;EuclideanDistance;7;true;true;true;false;true;false;false;0.2706;0.0381;25.2867;2.0122;104.41000000000001;14.3506;0.4399;0.0335;453.55
KMeans1520;EuclideanDistance;7;true;true;true;false;true;false;true;0.25070000000000003;0.0239;0.3267;0.047;3.4134;1.0011;0.5398000000000001;0.0425;37.26
KMeans1520;EuclideanDistance;7;true;true;true;false;true;true;false;0.2482;0.0137;7991.8157;926.8109000000001;50185.985700000005;2695.9943000000003;0.6784;0.051000000000000004;69.87
KMeans1520;EuclideanDistance;7;true;true;true;true;false;false;false;0.4282;0.027200000000000002;2.7954000000000003;0.2917;4.7243;0.3785;0.1593;0.043300000000000005;216.34
KMeans1520;EuclideanDistance;7;true;true;true;true;false;false;true;0.3252;0.0309;6.0444;0.5209;9.3511;0.8065;0.0907;0.0458;70.94
KMeans1520;EuclideanDistance;7;true;true;true;true;false;true;false;0.2926;0.024800000000000003;101.2501;10.065900000000001;213.8016;38.203500000000005;0.0649;0.0302;80.03
KMeans1520;EuclideanDistance;7;true;true;true;true;true;false;false;0.2752;0.0412;18.9651;2.4659;80.35510000000001;11.965200000000001;0.455;0.049;351.66
KMeans1520;EuclideanDistance;7;true;true;true;true;true;false;true;0.2529;0.0329;0.5543;0.1656;2.8701000000000003;0.5887;0.5486;0.0403;64.19
KMeans1520;EuclideanDistance;7;true;true;true;true;true;true;false;0.24680000000000002;0.0129;1734.5233;959.1136;25106.782600000002;9148.9445;0.629;0.0584;66.97
KMeans1520;WordEmbDistance;7;true;true;true;false;false;false;false;0.4529;3.0000000000000003E-4;-1.0;0.0;-1.0;0.0;-1.0;0.0;236718.37
KMeans1520;WordEmbDistance;7;true;true;true;false;false;false;true;0.4529;3.0000000000000003E-4;-1.0;0.0;-1.0;0.0;-1.0;0.0;245530.87
KMeans1520;WordEmbDistance;7;true;true;true;false;false;true;false;0.4529;3.0000000000000003E-4;-1.0;0.0;-1.0;0.0;-1.0;0.0;255090.6
KMeans1520;WordEmbDistance;7;true;true;true;true;false;false;false;0.459;0.0023;-1.0;0.0;-1.0;0.0;-1.0;0.0;297199.08
KMeans1520;WordEmbDistance;7;true;true;true;true;false;false;true;0.459;0.0023;-1.0;0.0;-1.0;0.0;-1.0;0.0;273019.04
Neural Gas;CosineDistance;7;true;true;true;false;false;false;false;0.3921;0.0;2.6145;0.0;3.3032000000000004;0.0;9.000000000000001E-4;0.0;186.38
Neural Gas;CosineDistance;7;true;true;true;false;false;false;true;0.3759;0.0;5.9009;0.0;6.814500000000001;0.0;-0.0031000000000000003;0.0;23.11
Neural Gas;CosineDistance;7;true;true;true;false;false;true;false;0.3511;0.0;48.8729;0.0;47.459900000000005;0.0;-0.0253;0.0;26.23
Neural Gas;CosineDistance;7;true;true;true;false;true;false;false;0.37770000000000004;0.0;13.0455;0.0;51.9256;0.0;0.111;0.0;254.32
Neural Gas;CosineDistance;7;true;true;true;false;true;false;true;0.37420000000000003;0.0;0.6612;0.0;1.249;0.0;-0.0449;0.0;22.87
Neural Gas;CosineDistance;7;true;true;true;false;true;true;false;0.37410000000000004;0.0;4471.7748;0.0;10210.4513;0.0;0.0482;0.0;27.29
Neural Gas;CosineDistance;7;true;true;true;true;false;false;false;0.4359;0.0;2.7031;0.0;2.6362;0.0;0.0679;0.0;247.78
Neural Gas;CosineDistance;7;true;true;true;true;false;false;true;0.29350000000000004;0.0;3.8556000000000004;0.0;4.645700000000001;0.0;0.0187;0.0;22.51
Neural Gas;CosineDistance;7;true;true;true;true;false;true;false;0.3553;0.0;47.8709;0.0;37.3481;0.0;-0.031;0.0;22.65
Neural Gas;CosineDistance;7;true;true;true;true;true;false;false;0.5285000000000001;0.0;20.6053;0.0;26.386200000000002;0.0;-0.0733;0.0;241.1
Neural Gas;CosineDistance;7;true;true;true;true;true;false;true;0.5284;0.0;0.34850000000000003;0.0;0.7706000000000001;0.0;-0.0443;0.0;163.47
Neural Gas;CosineDistance;7;true;true;true;true;true;true;false;0.5297000000000001;0.0;5239.7059;0.0;5511.0275;0.0;-0.046400000000000004;0.0;22.19
Neural Gas;EuclideanDistance;7;true;true;true;false;false;false;false;0.3317;0.0;2.8343000000000003;0.0;2.9102;0.0;0.0775;0.0;106.41
Neural Gas;EuclideanDistance;7;true;true;true;false;false;false;true;0.4585;0.0;6.5248;0.0;9.0655;0.0;0.07;0.0;19.54
Neural Gas;EuclideanDistance;7;true;true;true;false;false;true;false;0.43620000000000003;0.0;65.86970000000001;0.0;76.5035;0.0;-0.0376;0.0;22.18
Neural Gas;EuclideanDistance;7;true;true;true;false;true;false;false;0.324;0.0;8.0756;0.0;6.048;0.0;0.14500000000000002;0.0;220.27
Neural Gas;EuclideanDistance;7;true;true;true;false;true;false;true;0.35960000000000003;0.0;0.2267;0.0;0.5868;0.0;0.0806;0.0;21.0
Neural Gas;EuclideanDistance;7;true;true;true;false;true;true;false;0.3078;0.0;1328.8296;0.0;2861.3216;0.0;0.2733;0.0;21.04
Neural Gas;EuclideanDistance;7;true;true;true;true;false;false;false;0.3361;0.0;3.2014;0.0;3.7755;0.0;0.0013000000000000002;0.0;156.91
Neural Gas;EuclideanDistance;7;true;true;true;true;false;false;true;0.4617;0.0;5.5814;0.0;7.913600000000001;0.0;0.0911;0.0;19.56
Neural Gas;EuclideanDistance;7;true;true;true;true;false;true;false;0.4509;0.0;41.7396;0.0;24.7622;0.0;0.032;0.0;18.97
Neural Gas;EuclideanDistance;7;true;true;true;true;true;false;false;0.435;0.0;8.6892;0.0;11.1486;0.0;0.17370000000000002;0.0;196.96
Neural Gas;EuclideanDistance;7;true;true;true;true;true;false;true;0.4872;0.0;0.20420000000000002;0.0;0.4212;0.0;0.0471;0.0;112.8
Neural Gas;EuclideanDistance;7;true;true;true;true;true;true;false;0.43310000000000004;0.0;992.7763;0.0;1201.4495000000002;0.0;0.2152;0.0;19.73

