ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;false;false;false;false;30;2.1682;0.0;4.139600000000001;0.0;0.2296;0.0;6662.42
Neural Gas;EuclideanDistance;true;false;false;true;21;2.6567000000000003;0.1885;1.9766000000000001;0.43710000000000004;0.0575;0.0244;11.79
ClusterART;Not needed;false;false;false;false;4;3.2339;0.0;3.3537000000000003;0.0;0.20450000000000002;0.0;511.96
Neural Gas;EuclideanDistance;true;false;false;true;22;2.6630000000000003;0.07490000000000001;2.0709;0.7796000000000001;0.06860000000000001;0.019100000000000002;12.28
ClusterART;Not needed;false;false;false;false;5;3.236;0.0;3.4929;0.0;0.16920000000000002;0.0;649.58
Neural Gas;EuclideanDistance;true;false;false;true;23;2.3703000000000003;0.2605;1.8485;0.5621;0.0476;0.0252;12.74
ClusterART;Not needed;false;false;false;false;6;3.2306000000000004;0.0;3.6549;0.0;0.17070000000000002;0.0;780.38
Neural Gas;EuclideanDistance;true;false;false;true;24;2.4817;0.3033;1.9120000000000001;0.504;0.044000000000000004;0.024800000000000003;13.85
ClusterART;Not needed;false;false;false;false;7;3.145;0.0;3.882;0.0;0.2031;0.0;1020.9
Neural Gas;EuclideanDistance;true;false;false;true;25;2.4276;0.2975;1.8544;0.4988;0.0492;0.024900000000000002;14.84
ClusterART;Not needed;false;false;false;false;8;3.1963000000000004;0.0;3.8219000000000003;0.0;0.17120000000000002;0.0;1192.45
Neural Gas;EuclideanDistance;true;false;false;true;26;2.4272;0.24880000000000002;1.8503;0.441;0.0466;0.021400000000000002;14.94
ClusterART;Not needed;false;false;false;false;9;2.9008000000000003;0.0;3.9588;0.0;0.2393;0.0;1292.3
Neural Gas;EuclideanDistance;true;false;false;true;27;2.3243;0.2674;1.7689000000000001;0.41910000000000003;0.0361;0.0228;16.88
ClusterART;Not needed;false;true;false;false;10;72.4175;0.0;42.0858;0.0;0.1288;0.0;1140.25
Neural Gas;EuclideanDistance;true;false;false;true;28;2.3119;0.27080000000000004;1.6811;0.3662;0.0339;0.024900000000000002;15.95
ClusterART;Not needed;false;true;false;false;11;72.4175;0.0;42.0858;0.0;0.1288;0.0;1036.17
Neural Gas;EuclideanDistance;true;false;false;true;29;2.2321;0.2391;1.6716;0.4058;0.034300000000000004;0.029;17.84
ClusterART;Not needed;false;true;false;false;12;72.4175;0.0;42.0858;0.0;0.1288;0.0;1018.0
Neural Gas;EuclideanDistance;true;false;false;true;3;3.4832;0.0;1.5807;0.0;0.17800000000000002;0.0;2.36
ClusterART;Not needed;false;true;false;false;13;72.4175;0.0;42.0858;0.0;0.1288;0.0;1711.97
Neural Gas;EuclideanDistance;true;false;false;true;30;2.1464000000000003;0.22390000000000002;1.6502000000000001;0.33680000000000004;0.0216;0.023;17.36
ClusterART;Not needed;false;true;false;false;14;72.4175;0.0;42.0858;0.0;0.1288;0.0;1175.97
Neural Gas;EuclideanDistance;true;false;false;true;4;2.6101;0.0;3.0060000000000002;0.0;0.1335;0.0;2.2
ClusterART;Not needed;false;true;false;false;15;72.4175;0.0;42.0858;0.0;0.1288;0.0;1031.6
Neural Gas;EuclideanDistance;true;false;false;true;5;2.0866000000000002;0.0;3.8745000000000003;0.0;0.1067;0.0;3.07
ClusterART;Not needed;false;true;false;false;16;72.4175;0.0;42.0858;0.0;0.1288;0.0;1167.26
Neural Gas;EuclideanDistance;true;false;false;true;6;1.7389000000000001;0.0;2.6906000000000003;0.0;0.08900000000000001;0.0;3.64
ClusterART;Not needed;false;true;false;false;17;72.4175;0.0;42.0858;0.0;0.1288;0.0;1093.93
Neural Gas;EuclideanDistance;true;false;false;true;7;2.0935;0.0;2.2920000000000003;0.0;0.1443;0.0;7.11
ClusterART;Not needed;false;true;false;false;18;72.4175;0.0;42.0858;0.0;0.1288;0.0;1114.2
Neural Gas;EuclideanDistance;true;false;false;true;8;2.4726;0.0;3.6172;0.0;0.126;0.0;4.35
ClusterART;Not needed;false;true;false;false;19;72.4175;0.0;42.0858;0.0;0.1288;0.0;1178.45
Neural Gas;EuclideanDistance;true;false;false;true;9;2.2026;0.0;1.2881;0.0;0.0519;0.0;4.85
ClusterART;Not needed;false;true;false;false;2;72.4175;0.0;42.0858;0.0;0.1288;0.0;1075.41
Neural Gas;EuclideanDistance;true;false;true;false;10;55.617900000000006;0.0;63.1221;0.0;0.006;0.0;6.2
ClusterART;Not needed;false;true;false;false;20;72.4175;0.0;42.0858;0.0;0.1288;0.0;1091.58
Neural Gas;EuclideanDistance;true;false;true;false;11;52.691900000000004;0.0;52.072500000000005;0.0;0.0734;0.0;6.11
ClusterART;Not needed;false;true;false;false;21;72.4175;0.0;42.0858;0.0;0.1288;0.0;937.86
Neural Gas;EuclideanDistance;true;false;true;false;12;54.3232;0.0;63.6495;0.0;0.029900000000000003;0.0;6.56
ClusterART;Not needed;false;true;false;false;22;72.4175;0.0;42.0858;0.0;0.1288;0.0;1731.11
Neural Gas;EuclideanDistance;true;false;true;false;13;48.593;0.0;45.465;0.0;0.0574;0.0;7.03
ClusterART;Not needed;false;true;false;false;23;72.4175;0.0;42.0858;0.0;0.1288;0.0;1761.32
Neural Gas;EuclideanDistance;true;false;true;false;14;50.8448;0.0;63.314800000000005;0.0;0.0731;0.0;8.85
ClusterART;Not needed;false;true;false;false;24;72.4175;0.0;42.0858;0.0;0.1288;0.0;1206.91
Neural Gas;EuclideanDistance;true;false;true;false;15;50.6757;0.0;55.9007;0.0;0.0969;0.0;8.7
ClusterART;Not needed;false;true;false;false;25;72.4175;0.0;42.0858;0.0;0.1288;0.0;1168.39
Neural Gas;EuclideanDistance;true;false;true;false;16;46.8388;0.0;63.510600000000004;0.0;0.09190000000000001;0.0;8.47
ClusterART;Not needed;false;true;false;false;26;72.4175;0.0;42.0858;0.0;0.1288;0.0;1089.86
Neural Gas;EuclideanDistance;true;false;true;false;17;45.4602;0.0;63.7851;0.0;0.1212;0.0;10.78
